Feature,Importance
sensor_14_t-20,0.0346515918179566
op_setting_1_t-31,0.034360361185215946
op_setting_2_t-8,0.033849246072184654
sensor_14_t-21,0.03349284676632483
sensor_11_t-26,0.03301690079577233
sensor_3_t-16,0.03290024615227827
sensor_15_t-23,0.03285202902910596
sensor_14_t-15,0.03280711704834775
sensor_17_t-4,0.03212140330969066
sensor_9_t-14,0.03163655235118419
sensor_3_t-35,0.0315639716393088
sensor_15_t-21,0.03154666367844259
sensor_8_t-7,0.03153576190020726
op_setting_1_t-12,0.031133784986176995
op_setting_1_t-35,0.030683800810615693
sensor_7_t-21,0.030552094527780852
sensor_7_t-23,0.030231525740610006
sensor_15_t-15,0.03021453569435425
sensor_13_t-6,0.029186124475662843
sensor_3_t-29,0.02900110402273626
sensor_2_t-14,0.027662802214677065
sensor_17_t-30,0.027562317503504987
sensor_9_t-25,0.027003120224744614
sensor_20_t-15,0.02650975505842211
sensor_9_t-21,0.026123824349526637
sensor_9_t-29,0.02571726572252178
sensor_2_t-15,0.025471706165782336
sensor_3_t-11,0.02454455579791318
sensor_9_t-30,0.02400592854271964
sensor_2_t-13,0.0230492238503642
op_setting_1_t-19,0.02302514007494545
sensor_8_t-27,0.02295061113670125
op_setting_1_t-34,0.02285044976366563
op_setting_2_t-0,0.02260048214499766
sensor_2_t-16,0.022444576557366473
sensor_8_t-15,0.02244446601457787
sensor_9_t-22,0.02243754384298462
sensor_8_t-9,0.0223993005713282
sensor_3_t-13,0.021897702746847356
sensor_17_t-7,0.02185741025951612
op_setting_1_t-32,0.0217374209656431
sensor_2_t-9,0.021496059478766805
op_setting_1_t-2,0.021335722005361886
op_setting_1_t-10,0.020912316624094568
sensor_20_t-21,0.02072989891509376
op_setting_1_t-37,0.02055904923870339
op_setting_1_t-16,0.020432997252493177
op_setting_1_t-30,0.019932037936931782
sensor_3_t-38,0.01986182875481428
sensor_8_t-13,0.019852689851166807
op_setting_1_t-33,0.019572972234022327
sensor_9_t-26,0.01936436279268374
op_setting_1_t-22,0.019247915397736848
sensor_12_t-16,0.01918661360770023
sensor_20_t-18,0.018866671136189266
sensor_9_t-15,0.01848110800648987
sensor_9_t-39,0.01840953873645079
op_setting_1_t-5,0.018115843116177578
op_setting_2_t-31,0.017868686129697227
sensor_17_t-16,0.017780515721715243
op_setting_1_t-38,0.01716018061816287
op_setting_2_t-34,0.01655559635622176
op_setting_1_t-27,0.016391363876131416
op_setting_1_t-26,0.016326185073701913
op_setting_1_t-36,0.016104623970212437
sensor_13_t-10,0.015522045076541091
sensor_20_t-14,0.015490277296613808
sensor_2_t-25,0.01534153407274503
op_setting_2_t-19,0.014861145519872889
sensor_17_t-5,0.01430569457635838
sensor_11_t-22,0.014208403394379914
op_setting_2_t-39,0.014048927379076233
sensor_17_t-24,0.013947420872726315
sensor_20_t-23,0.013890539691177222
sensor_3_t-32,0.013514812745168879
op_setting_2_t-2,0.013014333960163368
sensor_13_t-8,0.012840451719117282
sensor_8_t-11,0.0126106920855206
op_setting_2_t-11,0.012346379987508073
op_setting_2_t-28,0.012273723465737608
sensor_13_t-9,0.012128282612844219
op_setting_2_t-35,0.012057622971108899
op_setting_2_t-29,0.011640067979543619
sensor_9_t-31,0.011528631318238471
op_setting_2_t-4,0.011384862896767014
op_setting_2_t-24,0.011142179389707671
